time_s,csp_out_V
0.000000000000000000e+00,0.000000000000000000e+00
5.036553600023672600e-08,0.000000000000000000e+00
1.015655360002393484e-07,0.000000000000000000e+00
1.527655360002431950e-07,0.000000000000000000e+00
2.039655360002470416e-07,0.000000000000000000e+00
2.551655360002508617e-07,0.000000000000000000e+00
3.063655360002547083e-07,0.000000000000000000e+00
3.575655360002585549e-07,0.000000000000000000e+00
4.087655360002624015e-07,0.000000000000000000e+00
4.599655360002662481e-07,0.000000000000000000e+00
5.111655360002700947e-07,0.000000000000000000e+00
5.623655360002739413e-07,0.000000000000000000e+00
6.135655360002777879e-07,0.000000000000000000e+00
6.647655360002816345e-07,0.000000000000000000e+00
7.159655360002854811e-07,0.000000000000000000e+00
7.671655360002893277e-07,0.000000000000000000e+00
8.183655360002931743e-07,0.000000000000000000e+00
8.695655360002970209e-07,0.000000000000000000e+00
9.207655360003008675e-07,0.000000000000000000e+00
9.719655360002660682e-07,0.000000000000000000e+00
9.999500000000000569e-07,0.000000000000000000e+00
9.999524206555443622e-07,-4.055382060979412229e-13
9.999551871190235078e-07,-1.482293975063608826e-11
9.999596549461543616e-07,-2.786627317785672631e-10
9.999647540434913323e-07,-1.929882254003700837e-09
9.999696818633408538e-07,-7.239115085155845009e-09
9.999759463672789351e-07,-2.713114888308609807e-08
9.999840318901451734e-07,-1.018764450577691605e-07
9.999948908604101916e-07,-3.994870780843484681e-07
1.000000000000000167e-06,-6.632482154600438662e-07
1.000004246875653242e-06,-9.811965355766005814e-07
1.000009909376524151e-06,-1.578428737047943287e-06
1.000021234378265969e-06,-3.662852122943149880e-06
1.000043884381749392e-06,-1.377232183585874736e-05
1.000050000000000064e-06,-1.821119622036349028e-05
1.000064455740608853e-06,-3.288303560111671686e-05
1.000080053538708428e-06,-5.654250344377942383e-05
1.000111249134907577e-06,-1.351614337181672454e-04
1.000148544432941917e-06,-2.966263564303517342e-04
1.000198544432941815e-06,-6.569379474967718124e-04
1.000248544432941713e-06,-1.210679416544735432e-03
1.000298544432941611e-06,-1.983703812584280968e-03
1.000348544432941508e-06,-2.995015121996402740e-03
1.000398544432941406e-06,-4.257896915078163147e-03
1.000448544432941304e-06,-5.780873354524374008e-03
1.000498544432941202e-06,-7.568521425127983093e-03
1.000548544432941100e-06,-9.622165001928806305e-03
1.000598544432940998e-06,-1.194046158343553543e-02
1.000648544432940896e-06,-1.451989356428384781e-02
1.000698544432940794e-06,-1.735519617795944214e-02
1.000748544432940691e-06,-2.043970488011837006e-02
1.000798544432940589e-06,-2.376565895974636078e-02
1.000848544432940487e-06,-2.732445113360881805e-02
1.000898544432940385e-06,-3.110684081912040710e-02
1.000948544432940283e-06,-3.510313108563423157e-02
1.001048544432940079e-06,-4.369718581438064575e-02
1.001148544432939875e-06,-5.302493274211883545e-02
1.001298544432939568e-06,-6.821375340223312378e-02
1.001448544432939262e-06,-8.460322767496109009e-02
1.001873544432938288e-06,-1.354732066392898560e-01
1.002298544432937526e-06,-1.894933730363845825e-01
1.003173544432935633e-06,-2.981963455677032471e-01
1.004048544432933951e-06,-3.934102058410644531e-01
1.005148544432931705e-06,-4.881644546985626221e-01
1.006248544432929458e-06,-5.573890209197998047e-01
1.007573544432926646e-06,-6.142680048942565918e-01
1.008898544432924046e-06,-6.506592631340026855e-01
1.010723544432920424e-06,-6.798429489135742188e-01
1.012548544432916591e-06,-6.950032711029052734e-01
1.015598544432910361e-06,-7.058951854705810547e-01
1.018648544432904132e-06,-7.094019055366516113e-01
1.022198544432896881e-06,-7.106506824493408203e-01
1.073398544432792307e-06,-7.108665704727172852e-01
1.124598544432687734e-06,-7.106075286865234375e-01
1.175798544432583160e-06,-7.103486061096191406e-01
1.226998544432478586e-06,-7.100898027420043945e-01
1.278198544432374013e-06,-7.098310589790344238e-01
1.329398544432269439e-06,-7.095724344253540039e-01
1.380598544432164866e-06,-7.093139290809631348e-01
1.431798544432060292e-06,-7.090554833412170410e-01
1.482998544431955718e-06,-7.087971568107604980e-01
1.534198544431851145e-06,-7.085388898849487305e-01
1.585398544431746571e-06,-7.082807421684265137e-01
1.636598544431641997e-06,-7.080226540565490723e-01
1.687798544431537424e-06,-7.077646851539611816e-01
1.738998544431432850e-06,-7.075068354606628418e-01
1.790198544431328277e-06,-7.072490453720092773e-01
1.841398544431223703e-06,-7.069913148880004883e-01
1.892598544431119129e-06,-7.067337632179260254e-01
1.943798544431168716e-06,-7.064762711524963379e-01
1.994998544431280983e-06,-7.062188386917114258e-01
2.046198544431393249e-06,-7.059615254402160645e-01
2.097398544431505516e-06,-7.057043313980102539e-01
2.148598544431617783e-06,-7.054471969604492188e-01
2.199798544431730050e-06,-7.051901221275329590e-01
2.250998544431842317e-06,-7.049332261085510254e-01
2.302198544431954583e-06,-7.046763896942138672e-01
2.353398544432066850e-06,-7.044196128845214844e-01
2.404598544432179117e-06,-7.041629552841186523e-01
2.455798544432291384e-06,-7.039064168930053711e-01
2.506998544432403651e-06,-7.036499381065368652e-01
2.558198544432515918e-06,-7.033935189247131348e-01
2.609398544432628184e-06,-7.031372785568237305e-01
2.660598544432740451e-06,-7.028810381889343262e-01
2.711798544432852718e-06,-7.026249766349792480e-01
2.762998544432964985e-06,-7.023689746856689453e-01
2.814198544433077252e-06,-7.021130323410034180e-01
2.865398544433189518e-06,-7.018572092056274414e-01
2.916598544433301785e-06,-7.016015052795410156e-01
2.967798544433414052e-06,-7.013458609580993652e-01
3.018998544433526319e-06,-7.010903358459472656e-01
3.070198544433638586e-06,-7.008349299430847168e-01
3.121398544433750853e-06,-7.005795240402221680e-01
3.172598544433863119e-06,-7.003242969512939453e-01
3.223798544433975386e-06,-7.000691294670104980e-01
3.274998544434087653e-06,-6.998140811920166016e-01
3.326198544434199920e-06,-6.995590925216674805e-01
3.377398544434312187e-06,-6.993041634559631348e-01
3.428598544434424453e-06,-6.990494132041931152e-01
3.479798544434536720e-06,-6.987946629524230957e-01
3.530998544434648987e-06,-6.985400915145874023e-01
3.582198544434761254e-06,-6.982855796813964844e-01
3.633398544434873521e-06,-6.980311274528503418e-01
3.684598544434985788e-06,-6.977767944335937500e-01
3.735798544435098054e-06,-6.975225806236267090e-01
3.786998544435210321e-06,-6.972684264183044434e-01
3.838198544435322165e-06,-6.970143914222717285e-01
3.889398544435434431e-06,-6.967604160308837891e-01
3.940598544435546698e-06,-6.965065598487854004e-01
3.991798544435658965e-06,-6.962527632713317871e-01
4.042998544435771232e-06,-6.959990859031677246e-01
4.094198544435883499e-06,-6.957455277442932129e-01
4.145398544435995765e-06,-6.954920291900634766e-01
4.196598544436108032e-06,-6.952385902404785156e-01
4.247798544436220299e-06,-6.949852705001831055e-01
4.298998544436332566e-06,-6.947320699691772461e-01
4.350198544436444833e-06,-6.944789290428161621e-01
4.401398544436557100e-06,-6.942259073257446289e-01
4.452598544436669366e-06,-6.939729452133178711e-01
4.503798544436781633e-06,-6.937201023101806641e-01
