Designator,Mid X,Mid Y,Layer,Rotation
C1,24.500000mm,-28.000000mm,Top,90.000000
C2,24.500000mm,-34.000000mm,Top,90.000000
C3,27.000000mm,-45.500000mm,Top,0.000000
C4,41.000000mm,-26.000000mm,Top,0.000000
C5,41.000000mm,-42.000000mm,Top,0.000000
C6,66.000000mm,-26.000000mm,Top,0.000000
C7,74.000000mm,-42.000000mm,Top,0.000000
C8,91.000000mm,-26.000000mm,Top,0.000000
C9,91.000000mm,-42.000000mm,Top,0.000000
C12,24.500000mm,-53.000000mm,Top,90.000000
C13,24.500000mm,-59.000000mm,Top,90.000000
C14,27.000000mm,-70.500000mm,Top,0.000000
C15,41.000000mm,-51.000000mm,Top,0.000000
C16,41.000000mm,-67.000000mm,Top,0.000000
C17,66.000000mm,-51.000000mm,Top,0.000000
C18,74.000000mm,-67.000000mm,Top,0.000000
C19,91.000000mm,-51.000000mm,Top,0.000000
C20,91.000000mm,-67.000000mm,Top,0.000000
C23,24.500000mm,-78.000000mm,Top,90.000000
C24,24.500000mm,-84.000000mm,Top,90.000000
C25,27.000000mm,-95.500000mm,Top,0.000000
C26,41.000000mm,-76.000000mm,Top,0.000000
C27,41.000000mm,-92.000000mm,Top,0.000000
C28,66.000000mm,-76.000000mm,Top,0.000000
C29,74.000000mm,-92.000000mm,Top,0.000000
C30,91.000000mm,-76.000000mm,Top,0.000000
C31,91.000000mm,-92.000000mm,Top,0.000000
C34,24.500000mm,-103.000000mm,Top,90.000000
C35,24.500000mm,-109.000000mm,Top,90.000000
C36,27.000000mm,-120.500000mm,Top,0.000000
C37,41.000000mm,-101.000000mm,Top,0.000000
C38,41.000000mm,-117.000000mm,Top,0.000000
C39,66.000000mm,-101.000000mm,Top,0.000000
C40,74.000000mm,-117.000000mm,Top,0.000000
C41,91.000000mm,-101.000000mm,Top,0.000000
C42,91.000000mm,-117.000000mm,Top,0.000000
C45,24.500000mm,-128.000000mm,Top,90.000000
C46,24.500000mm,-134.000000mm,Top,90.000000
C47,27.000000mm,-145.500000mm,Top,0.000000
C48,41.000000mm,-126.000000mm,Top,0.000000
C49,41.000000mm,-142.000000mm,Top,0.000000
C50,66.000000mm,-126.000000mm,Top,0.000000
C51,74.000000mm,-142.000000mm,Top,0.000000
